timestamp[s];distance[m];altitude[m];speed[m/s];power[watts];heart_rate[bpm];temperature[C];cadence[rpm];accumulated_power[watts];left_pco[mm];right_pco[mm];right_power_phase[degrees];right_power_phase_peak[degrees];left_right_balance;left_power_phase[degrees];left_power_phase_peak[degrees]
935669193;1048.83;61.00;13.14;105;164;31;102;20244;-8;-1;3.557812555590821E-5|1.982812530981446E-5;7.312500114257814E-6|1.167187518237305E-5;181;3.571875055810548E-5|2.109375032958985E-5;8.43750013183594E-6|1.2515625195556644E-5
935669194;1061.97;61.00;13.07;144;165;31;102;20388;-8;-1;4.21875006591797E-7|1.940625030322266E-5;7.45312511645508E-6|1.1953125186767581E-5;176;0.0|2.039062531860352E-5;7.875000123046877E-6|1.2093750188964847E-5
935669195;1075.05;61.00;13.05;137;164;31;100;20525;-8;-1;3.557812555590821E-5|1.9687500307617193E-5;7.734375120849611E-6|1.1953125186767581E-5;175;4.21875006591797E-7|2.0953125327392582E-5;7.734375120849611E-6|1.265625019775391E-5
935669196;1088.06;61.00;12.97;137;164;31;104;20662;-8;-1;3.557812555590821E-5|1.9687500307617193E-5;7.734375120849611E-6|1.1953125186767581E-5;175;4.21875006591797E-7|2.0953125327392582E-5;7.734375120849611E-6|1.265625019775391E-5
935669197;1101.0;61.00;12.90;126;164;31;100;20788;-8;-1;3.529687555151368E-5|1.9546875305419927E-5;7.875000123046877E-6|1.1953125186767581E-5;174;1.4062500219726565E-7|2.0531250320800787E-5;7.171875112060549E-6|1.2093750188964847E-5
935669198;1114.03;61.00;12.99;163;164;31;102;20951;-8;-1;3.529687555151368E-5|1.9546875305419927E-5;7.875000123046877E-6|1.1953125186767581E-5;175;3.543750055371095E-5|2.0531250320800787E-5;7.875000123046877E-6|1.265625019775391E-5
935669199;1127.07;61.00;13.03;120;163;31;100;21071;-13;-1;3.571875055810548E-5|1.9687500307617193E-5;7.031250109863283E-6|1.1390625177978518E-5;174;3.543750055371095E-5|2.0531250320800787E-5;7.875000123046877E-6|1.265625019775391E-5
935669200;1140.21;61.00;13.03;131;163;31;101;21202;-11;1;3.571875055810548E-5|1.9687500307617193E-5;7.031250109863283E-6|1.1390625177978518E-5;176;2.812500043945313E-7|2.0953125327392582E-5;7.734375120849611E-6|1.2515625195556644E-5
935669201;1153.19;61.00;12.92;110;163;31;102;21312;-12;1;1.4062500219726565E-7|1.88437502944336E-5;8.015625125244143E-6|1.2093750188964847E-5;176;3.571875055810548E-5|2.0953125327392582E-5;7.171875112060549E-6|1.2234375191162112E-5
935669202;1166.22;61.00;13.00;111;163;31;101;21423;-12;2;2.812500043945313E-7|1.9546875305419927E-5;8.296875129638674E-6|1.2375000193359378E-5;176;3.571875055810548E-5|2.0953125327392582E-5;7.171875112060549E-6|1.2234375191162112E-5
935669203;1179.24;61.00;12.95;121;163;31;101;21544;-12;2;2.812500043945313E-7|1.9546875305419927E-5;8.296875129638674E-6|1.2375000193359378E-5;174;0.0|2.039062531860352E-5;7.5937501186523455E-6|1.2796875199951175E-5
935669204;1192.23;61.00;12.94;106;163;31;101;21544;-12;2;8.43750013183594E-7|1.9968750312011722E-5;7.734375120849611E-6|1.1812500184570315E-5;178;4.21875006591797E-7|2.0671875322998053E-5;7.875000123046877E-6|1.2515625195556644E-5
935669205;1205.27;61.00;13.01;106;163;31;99;21756;-10;0;3.529687555151368E-5|1.9546875305419927E-5;8.578125134033205E-6|1.2234375191162112E-5;171;2.812500043945313E-7|2.0531250320800787E-5;7.171875112060549E-6|1.2375000193359378E-5
935669206;1218.29;61.00;12.88;75;162;31;104;21831;-8;-1;3.529687555151368E-5|1.9546875305419927E-5;8.578125134033205E-6|1.2234375191162112E-5;171;3.571875055810548E-5|1.88437502944336E-5;7.45312511645508E-6|1.293750020214844E-5
935669207;1231.17;61.00;12.77;45;162;31;95;21876;-8;-1;3.529687555151368E-5|1.9546875305419927E-5;8.578125134033205E-6|1.2234375191162112E-5;167;3.571875055810548E-5|1.88437502944336E-5;7.45312511645508E-6|1.293750020214844E-5
935669208;1243.98;61.00;12.81;259;161;31;101;22135;-11;4;3.459375054052735E-5|2.0671875322998053E-5;7.45312511645508E-6|1.1109375173583987E-5;171;3.529687555151368E-5|2.1656250338378913E-5;7.734375120849611E-6|1.2796875199951175E-5
935669209;1256.87;61.20;12.90;194;161;31;100;22329;-15;-2;3.4171875533935555E-5|1.9546875305419927E-5;7.5937501186523455E-6|1.1812500184570315E-5;182;3.529687555151368E-5|2.010937531420899E-5;7.875000123046877E-6|1.265625019775391E-5
935669210;1269.55;61.40;12.37;17;160;31;100;22329;-15;-2;3.4171875533935555E-5|1.9546875305419927E-5;7.5937501186523455E-6|1.1812500184570315E-5;183;3.529687555151368E-5|2.010937531420899E-5;7.875000123046877E-6|1.265625019775391E-5
935669211;1281.33;61.60;11.22;17;160;31;100;22329;-15;-2;3.487500054492188E-5|1.7296875270263675E-5;7.45312511645508E-6|1.1953125186767581E-5;183;3.529687555151368E-5|2.010937531420899E-5;7.875000123046877E-6|1.265625019775391E-5
935669212;1291.93;61.60;10.06;17;160;31;17;22380;-15;-2;3.487500054492188E-5|1.7296875270263675E-5;7.45312511645508E-6|1.1953125186767581E-5;183;3.529687555151368E-5|2.010937531420899E-5;7.875000123046877E-6|1.265625019775391E-5
935669213;1301.47;61.80;9.14;29;159;31;77;22380;-15;-2;3.487500054492188E-5|1.7296875270263675E-5;7.45312511645508E-6|1.1953125186767581E-5;228;3.529687555151368E-5|2.010937531420899E-5;7.875000123046877E-6|1.265625019775391E-5
