,Time,Latitude,Longitude,Elevation,Distance,Heart_rate,Speed,Cadence,Lap,HR_smooth,Distance_miles,Elevation_feet,dElevation
10983,2020-02-16 11:04:47+00:00,43.79562386311591,12.113495199009776,1062.6,82294.81,155.0,3.06,386.0,1,155.2,51.13575130177588,3486.1780799999997,0.0
10984,2020-02-16 11:04:48+00:00,43.79559905268252,12.113506263121963,1062.8,82297.93,154.0,3.126,388.0,1,155.1,51.13768998471423,3486.83424,0.6561600000004546
10985,2020-02-16 11:04:49+00:00,43.79557332023978,12.113512801006436,1063.2,82301.1,154.0,3.163,384.0,1,155.0,51.13965973628942,3488.14656,1.3123199999999997
10986,2020-02-16 11:04:50+00:00,43.7955466657877,12.1135198418051,1063.4,82304.28,154.0,3.191,386.0,1,154.9,51.14163570159196,3488.8027200000006,0.6561600000004546
10987,2020-02-16 11:04:51+00:00,43.7955223582685,12.113523529842496,1063.6,82307.46,155.0,3.172,394.0,1,154.85,51.14361166689451,3489.4588799999997,0.6561599999990904
10988,2020-02-16 11:04:52+00:00,43.79549947567284,12.113522188737988,1063.8,82310.64,155.0,3.182,350.0,1,154.8,51.14558763219705,3490.11504,0.6561600000004546
10989,2020-02-16 11:04:53+00:00,43.79547466523945,12.113520428538322,1064.0,82313.79,155.0,3.154,330.0,1,154.8,51.147544956317496,3490.7712,0.6561599999999999
10990,2020-02-16 11:04:54+00:00,43.79545295611024,12.11352034471929,1064.2,82316.88,155.0,3.088,332.0,1,154.8,51.14946499807375,3491.42736,0.6561599999999999
10991,2020-02-16 11:04:55+00:00,43.79543283954263,12.11351933889091,1064.4,82319.89,155.0,3.014,310.0,1,154.8,51.151335330011065,3492.0835200000006,0.6561600000004546
10992,2020-02-16 11:04:56+00:00,43.79541473463178,12.113518752157688,1064.6,82322.81,155.0,2.921,356.0,1,154.8,51.15314973840208,3492.7396799999997,0.6561599999990904
10993,2020-02-16 11:04:57+00:00,43.79539495334029,12.113518584519625,1064.8,82325.7,155.0,2.883,356.0,1,154.8,51.154945505610996,3493.39584,0.6561600000004546
10994,2020-02-16 11:04:58+00:00,43.795375004410744,12.113519422709942,1065.0,82328.58,155.0,2.883,356.0,1,154.85,51.156735059092554,3494.052,0.6561599999999999
10995,2020-02-16 11:04:59+00:00,43.7953529600054,12.113520177081227,1065.2,82331.56,155.0,2.976,330.0,1,154.85,51.158586749847764,3494.70816,0.6561599999999999
10996,2020-02-16 11:05:00+00:00,43.795330161228776,12.113520596176386,1065.4,82334.52,154.0,2.958,286.0,1,154.8,51.16042601314825,3495.3643200000006,0.6561600000004546
10997,2020-02-16 11:05:01+00:00,43.79530535079539,12.11351741105318,1065.8,82337.46,154.0,2.948,332.0,1,154.75,51.162252848994,3496.67664,1.312319999999545
10998,2020-02-16 11:05:02+00:00,43.79528037272394,12.113516740500927,1066.0,82340.43,154.0,2.967,360.0,1,154.7,51.16409832602184,3497.3328,0.6561599999999999
10999,2020-02-16 11:05:03+00:00,43.79525254480541,12.11351783014834,1066.2,82343.44,153.0,3.004,352.0,1,154.6,51.16596865795917,3497.98896,0.6561599999999999
11000,2020-02-16 11:05:04+00:00,43.795221699401736,12.113525876775384,1066.4,82346.48,153.0,3.042,366.0,1,154.5,51.167857631078576,3498.6451200000006,0.6561600000004546
11001,2020-02-16 11:05:05+00:00,43.79519110545516,12.113531241193414,1066.6,82349.56,153.0,3.079,326.0,1,154.4,51.16977145910746,3499.3012799999997,0.6561599999990904
11002,2020-02-16 11:05:06+00:00,43.79516168497503,12.113532582297921,1066.8,82352.7,153.0,3.144,372.0,1,154.3,51.17172256950054,3499.95744,0.6561600000004546
11003,2020-02-16 11:05:07+00:00,43.79512723535299,12.113539706915617,1067.0,82355.81,153.0,3.107,374.0,1,154.2,51.17365503871152,3500.6136,0.6561599999999999
11004,2020-02-16 11:05:08+00:00,43.79509932361543,12.113539958372712,1067.2,82358.87,154.0,3.06,366.0,1,154.2,51.17555643928567,3501.26976,0.6561599999999999
11005,2020-02-16 11:05:09+00:00,43.795066718012094,12.113543981686234,1067.4,82361.93,154.0,3.06,370.0,1,154.2,51.17745783985982,3501.9259200000006,0.6561600000004546
11006,2020-02-16 11:05:10+00:00,43.79503763280809,12.113545993342996,1067.6,82364.97,154.0,3.042,352.0,1,154.2,51.17934681297924,3502.5820799999997,0.6561599999990904
11007,2020-02-16 11:05:11+00:00,43.795009050518274,12.113547585904598,1067.8,82367.99,154.0,3.023,388.0,1,154.15,51.18122335864392,3503.23824,0.6561600000004546
11008,2020-02-16 11:05:12+00:00,43.79498147405684,12.113547334447503,1068.0,82371.02,154.0,3.023,372.0,1,154.1,51.18310611803597,3503.8944,0.6561599999999999
11009,2020-02-16 11:05:13+00:00,43.794954903423786,12.113546077162027,1068.2,82373.96,154.0,2.948,352.0,1,154.05,51.18493295388172,3504.55056,0.6561599999999999
11010,2020-02-16 11:05:14+00:00,43.794926404953,12.113547082990408,1068.4,82376.91,154.0,2.948,342.0,1,154.0,51.186766003454835,3505.2067200000006,0.6561600000004546
11011,2020-02-16 11:05:15+00:00,43.794899163767695,12.113547502085567,1068.6,82379.83,154.0,2.921,348.0,1,153.95,51.188580411845855,3505.8628799999997,0.6561599999990904
11012,2020-02-16 11:05:16+00:00,43.79487041383982,12.113551190122962,1068.8,82382.74,155.0,2.911,354.0,1,153.95,51.19038860650951,3506.51904,0.6561600000004546
11013,2020-02-16 11:05:17+00:00,43.794843507930636,12.113552363589406,1069.2,82385.64,155.0,2.893,338.0,1,153.95,51.192190587445786,3507.83136,1.3123199999999997
11014,2020-02-16 11:05:18+00:00,43.79481635056436,12.113552279770374,1069.4,82388.51,155.0,2.874,350.0,1,153.95,51.19397392719997,3508.4875200000006,0.6561600000004546
11015,2020-02-16 11:05:19+00:00,43.79478936083615,12.113552279770374,1069.6,82391.35,156.0,2.846,342.0,1,154.0,51.19573862577206,3509.1436799999997,0.6561599999990904
11016,2020-02-16 11:05:20+00:00,43.794762790203094,12.113553369417787,1069.8,82394.2,156.0,2.846,364.0,1,154.1,51.19750953807151,3509.79984,0.6561600000004546
11017,2020-02-16 11:05:21+00:00,43.79473529756069,12.113555800169706,1070.0,82397.07,156.0,2.874,350.0,1,154.2,51.1992928778257,3510.456,0.6561599999999999
11018,2020-02-16 11:05:22+00:00,43.79470822401345,12.113557644188404,1070.0,82399.99,156.0,2.911,342.0,1,154.3,51.20110728621672,3510.456,0.0
11019,2020-02-16 11:05:23+00:00,43.79468198865652,12.113560158759356,1070.2,82402.91,156.0,2.921,338.0,1,154.45,51.20292169460773,3511.11216,0.6561599999999999
11020,2020-02-16 11:05:24+00:00,43.79465407691896,12.1135613322258,1070.4,82405.82,156.0,2.911,338.0,1,154.6,51.204729889271384,3511.7683200000006,0.6561600000004546
11021,2020-02-16 11:05:25+00:00,43.79462733864784,12.113561751320958,1070.6,82408.66,156.0,2.837,328.0,1,154.75,51.206494587843466,3512.4244799999997,0.6561599999990904
11022,2020-02-16 11:05:26+00:00,43.794601019471884,12.113563092425466,1070.6,82411.44,155.0,2.781,330.0,1,154.85,51.20822200405136,3512.4244799999997,0.0
11023,2020-02-16 11:05:27+00:00,43.79457486793399,12.113564852625132,1070.8,82414.21,156.0,2.771,350.0,1,155.0,51.209943206531875,3513.08064,0.6561600000004546
11024,2020-02-16 11:05:28+00:00,43.79454905167222,12.11357113905251,1071.0,82416.95,156.0,2.734,338.0,1,155.1,51.21164576783029,3513.7368,0.6561599999999999
11025,2020-02-16 11:05:29+00:00,43.794524408876896,12.113576419651508,1071.2,82419.72,156.0,2.771,340.0,1,155.2,51.213366970310815,3514.39296,0.6561599999999999
11026,2020-02-16 11:05:30+00:00,43.79449959844351,12.113580359145999,1071.4,82422.51,155.0,2.79,332.0,1,155.25,51.21510060024606,3515.0491200000006,0.6561600000004546
